ResponseId,AGE,GENDER,EDUCATION,EDUCATION.rating_1,ETHNICITY,NATIVE.LANGUAGE,OTHER.LANGUAGE,ENGLISH.PROFICIENCY,OCCUPATION,SHIPLEY,HLVA,FACTOR3,mean.acc,mean.self
R_6LBCOH1wHjRiYly,56,Female,Secondary,4,Asian,English,NA,NA,Full.time,10,1,46,0.4,8.4
R_67UL0Or3ghQWOey,18,Female,Secondary,8,White,Other,"French, Ukrainian",3,Unemployed,36,11,44,0.8,9
R_2dtOtval9yb2rn0,20,Female,Secondary,9,White,English,NA,NA,Student,29,11,48,0.75,7.4
R_2HU8uiJeCx71Vsd,19,Female,Further,7,White,English,NA,NA,Student,33,8,61,0.8,7.6
R_5c0bLcj9zxFBW2y,18,Female,Further,6,White,English,NA,NA,Student,39,8,42,0.75,5
R_1PS1g4v34pBe8Xq,19,Male,Further,8,White,English,NA,NA,Student,33,10,49,0.95,7
R_1RpS5w7rZV9QCVE,19,Female,Further,6,White,English,NA,NA,Student,30,10,43,0.75,7.8
R_2IsuVlGb6iznkRz,21,Female,Further,6,White,English,NA,NA,Student,30,11,45,0.8,7.4
R_1LbdvYj047bd97i,18,Male,Further,7,White,English,NA,NA,Student,33,8,43,0.9,8.2
R_617l7qeaxVvtPlS,19,Female,Further,9,White,English,NA,NA,23,30,10,45,0.8,8.4
R_1PdvSxMAgxzzeCt,18,Female,Further,9,White,English,NA,NA,Student,30,8,49,0.85,5.8
R_1M4fENPQkhSWMud,18,Female,Further,8,White,English,NA,NA,Student,36,8,55,0.9,8.4
R_3Nz8QxyR5w836Yk,18,Female,Further,8,White,English,NA,NA,23,29,12,50,0.85,6
R_8C5MxIybIFtIqyd,19,Female,Further,7,White,English,NA,NA,23,37,8,48,0.8,6.8
R_2WSOFszkH26HVW9,18,Female,Further,6,White,English,NA,NA,Student,28,7,43,0.85,6.8
R_2iuqQTHfWRjEtA5,18,Female,Further,8,White,English,NA,NA,Student,38,6,43,0.9,8.2
R_8DwNKD9ne5HD5Qm,18,Female,Further,6,White,English,NA,NA,23,36,8,53,0.8,7.2
R_7E4IZ9XLQGQvs2e,20,Male,Further,7,Asian,English,NA,NA,Student,34,10,54,0.8,7.6
R_1sSeWfgXcOX3PuC,18,Female,Further,8,White,English,NA,NA,Student,28,7,36,0.75,7.8
R_6qWEPI6VM0ZGKRS,18,Female,Secondary,8,White,English,NA,NA,23,22,5,41,0.5,6.2
R_8AJfuHXGHNbDyEN,18,Female,Further,7,White,English,NA,NA,Student,33,12,48,0.95,7
R_5HiQY2Eyzo9VrBj,19,Non-Binary,Further,5,White,English,NA,NA,Student,36,8,49,0.85,7.2
R_26HSPEz1CajLBXH,18,Female,Further,8,White,English,NA,NA,Student,38,11,44,1,9
R_1Ty2gSaPrdblTZT,18,Female,Further,7,White,English,NA,NA,Student,35,12,54,0.95,8.2
R_6nTSSWiw62rDSV3,18,Female,Further,6,Black,English,NA,NA,Student,37,9,40,0.85,8.4
R_2khfUJhlX1aNhkJ,18,Female,Further,7,White,English,NA,NA,Student,31,5,46,0.95,7
R_17fFMNuY1ArtD62,19,Female,Further,7,White,English,NA,NA,Student,24,6,43,0.8,6.2
R_2fiObv7yhjd06Pu,19,Female,Further,8,White,Other,Spanish,3,Student,29,7,57,0.85,7.6
R_21XlTPx82Whqqwj,19,Female,Further,8,Mixed,English,NA,NA,34,32,5,44,0.6,5
R_7jk7yWIgzzDlvbP,18,Male,Further,8,White,English,NA,NA,Student,32,6,45,0.7,6.8
R_3fvGbeF6U6Rw7Zf,19,Female,Further,7,White,English,NA,NA,Student,30,3,44,0.25,2.6
R_1r211zeeWUwSgOA,19,Female,Further,8,White,English,NA,NA,23,34,7,50,0.6,6.8
R_67piM8SEEh3ek6t,18,Female,Further,7,White,English,NA,NA,23,31,11,39,0.9,7
R_8prkQ4VMxk95OC3,19,Female,Secondary,8,White,English,NA,NA,Student,40,11,57,0.95,8.4
R_2D6NPu2NbYpD9ZR,20,Female,Further,7,White,English,NA,NA,Student,31,10,46,0.95,7.8
R_3TLinruCvEmfNc4,20,Female,Further,8,Asian,English,NA,NA,Part.time,29,8,46,0.9,7.6
R_7Vy965BhI4KSwaQ,18,Male,Further,4,Asian,Other,Punjabi,3,Student,34,10,37,0.75,5.8
R_7k0oApprR3yzz8O,22,Male,Secondary,5,Asian,Other,Chinese,1,Student,37,6,39,0.9,4
R_3F8ItDpaNlz5Pqs,19,Female,Further,7,White,English,NA,NA,Student,32,6,46,0.8,5.8
R_6QhiMC9gmNRsZWJ,19,Female,Further,6,Asian,Other,Chinese,2,Student,31,6,28,0.75,2.8
R_6kpc9sLQFputiJX,19,Female,Further,7,White,English,NA,NA,Student,30,9,41,1,8.4
R_8jo5NDgGoppr6Ex,19,Female,Further,8,White,English,NA,NA,Student,29,6,48,0.55,6.4
R_6qe73yv1caDEJoq,18,Female,Further,6,White,English,NA,NA,Student,38,14,49,1,7.6
R_5WTvXFy467xn6qB,19,Female,Secondary,6,White,English,NA,NA,Student,29,8,52,1,7.8
R_1gUDSakN0zuek5x,18,Male,Further,8,White,English,NA,NA,Student,37,10,48,1,3.7999999999999994
R_6GS7zYSzLWJSxod,18,Female,Further,7,White,English,NA,NA,34,32,7,41,1,8.6
R_8kZ19Vc1f6BBQxb,19,Female,Further,8,White,English,NA,NA,Student,39,9,38,0.95,6.2
R_672LwEFhdx9y2ny,19,Female,Further,7,White,English,NA,NA,Student,29,9,44,0.8,6.8
R_2zl8B9RkuAcAm2T,19,Female,Further,7,White,English,NA,NA,Student,33,8,49,0.85,5.4
R_8nUYlotXJ59X2GY,19,Female,Further,8,White,English,NA,NA,23,31,10,44,0.95,6
R_71cKduyDN2uC2xq,19,Male,Further,7,White,English,NA,NA,Student,32,10,54,0.85,7
R_2N1feynVla6S4WR,18,Female,Further,7,White,English,NA,NA,Student,30,9,53,1,7.4
R_1jm5S3bL9ocN406,19,Female,Further,7,White,English,NA,NA,Student,36,8,44,0.8,7.6
R_1dzrfbRxiUwUco8,20,Female,Further,7,White,English,NA,NA,Part.time,29,7,40,0.65,5.4
R_6gRQgxfDZ1hLlOj,19,Female,Further,9,White,English,NA,NA,Student,35,8,54,0.9,7
R_8WUd3qVB2UoyzNr,18,Female,Further,8,White,English,NA,NA,23,36,10,51,0.9,7.6
R_88BggOTwggaGGiJ,18,Male,Higher,7,White,English,NA,NA,Student,32,7,47,0.75,7.8
R_2imqIktN4YUHZ17,20,Male,Further,7,Mixed,Other,Russian,3,Student,29,12,56,0.95,8.8
R_6YSpWx7vtx6azcI,19,Female,Further,7,White,English,NA,NA,23,37,8,56,0.9,8
R_2hCzU6QAQmhccP7,18,Female,Further,7,Asian,Other,Punjabi,3,Student,27,10,55,0.95,8.4
R_5uZJAOSYHnIwPh8,23,Male,Further,5,Mixed,English,NA,NA,Student,37,10,38,0.8,5
R_6didTKrNSXSUxvX,18,Female,Higher,7,White,English,NA,NA,Part.time,32,7,53,0.55,5.2
R_37Wl7iy7DFjGfvH,19,Male,Further,7,White,English,NA,NA,Student,36,12,53,0.9,7
R_8iSYzRaHfuYtH21,21,Female,Higher,5,Asian,English,NA,NA,23,35,9,53,0.7,6.8
R_6QnpOsdnYQnwGux,19,Female,Higher,8,White,English,NA,NA,Student,33,10,48,0.85,5.8
